Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99011.0,Clark (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99015.0,Cowlitz (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99017.0,Douglas (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99027.0,Grays Harbor (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99029.0,Island (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99031.0,Jefferson (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99033.0,King (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99035.0,Kitsap (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99037.0,Kittitas (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99041.0,Lewis (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99045.0,Mason (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99049.0,Pacific (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99053.0,Pierce (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99057.0,Skagit (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99059.0,Skamania (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99061.0,Snohomish (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99067.0,Thurston (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99069.0,Wahkiakum (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99071.0,Walla Walla (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99073.0,Whatcom (County),1025
1361,No,Yes,Yes,Yes,WA,2001-03-01 20:30:00,DR,Earthquake,EARTHQUAKE,2001-02-28 08:54:00,2001-03-16 00:00:00,2011-10-25 00:00:00,99077.0,Yakima (County),1025
1342,No,Yes,No,Yes,CA,2000-09-14 18:00:00,DR,Earthquake,EARTHQUAKE,2000-09-03 01:36:00,2000-09-03 00:00:00,2010-08-04 00:00:00,99055.0,Napa (County),141
1008,No,Yes,Yes,Yes,CA,1994-01-17 00:00:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994-01-17 00:00:00,1994-11-30 00:00:00,2017-09-29 23:59:00,99037.0,Los Angeles (County),94003
1008,No,Yes,Yes,Yes,CA,1994-01-17 00:00:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994-01-17 00:00:00,1994-11-30 00:00:00,2017-09-29 23:59:00,99059.0,Orange (County),94003
1008,No,Yes,Yes,Yes,CA,1994-01-17 00:00:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994-01-17 00:00:00,1994-11-30 00:00:00,2017-09-29 23:59:00,99111.0,Ventura (County),94003
1004,No,No,Yes,Yes,OR,1993-10-15 00:00:00,DR,Earthquake,EARTHQUAKES,1993-09-20 00:00:00,1993-09-20 00:00:00,2010-02-17 12:00:00,99035.0,Klamath (County),93063
985,No,No,Yes,Yes,OR,1993-04-26 00:00:00,DR,Earthquake,EARTHQUAKE,1993-03-25 00:00:00,1993-03-25 00:00:00,2001-03-16 00:00:00,99005.0,Clackamas (County),93044
985,No,No,Yes,Yes,OR,1993-04-26 00:00:00,DR,Earthquake,EARTHQUAKE,1993-03-25 00:00:00,1993-03-25 00:00:00,2001-03-16 00:00:00,99047.0,Marion (County),93044
